date,without_mirrors,with_mirrors
2026-02-22,90,210
2026-02-23,84,245
2026-02-24,3,49
2026-02-25,169,413
2026-02-26,143,442
2026-02-27,219,597
2026-02-28,41,131
2026-03-01,361,1087
2026-03-02,327,1148
2026-03-03,226,784
2026-03-04,92,227
2026-03-05,37,91
2026-03-06,106,211
2026-03-07,90,279
2026-03-08,11,39
2026-03-09,104,285
2026-03-10,37,192
2026-03-11,7,90
2026-03-12,3,52
2026-03-13,20,166
2026-03-14,3,12
2026-03-15,1,68
2026-03-16,33,85
2026-03-17,,56
2026-03-18,61,206
2026-03-19,184,481
2026-03-20,128,417
2026-03-21,14,138
2026-03-22,42,247
2026-03-23,50,180
2026-03-24,84,252
2026-03-25,30,156
2026-03-26,20,60
2026-03-27,170,650
2026-03-28,29,84
2026-03-29,30,127
2026-03-30,33,65
2026-03-31,4,39
2026-04-01,1,13
2026-04-02,1,66
2026-04-03,7,127
2026-04-04,1,23
2026-04-05,76,352
2026-04-06,8,45
2026-04-07,42,83
2026-04-08,4,127
2026-04-09,7,19
2026-04-10,23,43
2026-04-11,7,130
2026-04-12,15,19
2026-04-13,2,126
2026-04-14,9,107
2026-04-15,9,11
2026-04-16,4,125
2026-04-17,7,84
2026-04-18,5,7
2026-04-19,16,83
2026-04-20,11,18
2026-04-21,47,57
2026-04-22,4,34
2026-04-23,,42
2026-04-24,3,63
2026-04-25,5,65
2026-04-26,,65
2026-04-27,8,56
2026-04-28,1,10
2026-04-30,1,1
2026-05-02,2,40
2026-05-03,1,25
2026-05-04,63,65
2026-05-05,68,95
2026-05-06,74,101
2026-05-07,26,26
2026-05-08,6,39
2026-05-09,,177
2026-05-10,5,6
2026-05-11,4,66
2026-05-12,22,30
2026-05-13,69,93
2026-05-14,8,9
2026-05-15,2,8
2026-05-16,2,2
2026-05-17,11,11
2026-05-18,25,32
2026-05-19,168,556
2026-05-20,9,70
2026-05-21,8,24
2026-05-22,10,34
2026-05-23,2,34
2026-05-24,3,93
2026-05-25,93,108
2026-05-26,10,100
2026-05-27,4,80
2026-05-28,65,79
2026-05-29,1,85
2026-05-30,3,80
2026-05-31,7,142
2026-06-01,98,262
2026-06-02,56,99
2026-06-03,5,48
2026-06-04,3,34
2026-06-05,110,308
2026-06-06,48,278
2026-06-07,6,133
2026-06-08,11,124
2026-06-09,3,80
2026-06-10,11,27
2026-06-11,9,14
2026-06-12,18,63
2026-06-13,,204
2026-06-14,53,76
2026-06-15,12,90
2026-06-16,3,12
2026-06-17,5,17
2026-06-18,6,79
2026-06-19,2,26
2026-06-21,157,351
2026-06-22,10,191
2026-06-23,14,22
2026-06-24,17,22
2026-06-25,3,9
2026-06-26,8,160
2026-06-27,33,112
2026-06-28,12,20
2026-06-29,13,47
2026-06-30,27,105
2026-07-01,10,16
2026-07-02,24,90
2026-07-03,44,149
2026-07-04,23,40
2026-07-05,3,14
2026-07-06,22,58
2026-07-07,40,202
2026-07-08,77,94
2026-07-09,9,39
2026-07-10,7,8
2026-07-11,,101
2026-07-12,4,14
2026-07-13,4,6
2026-07-14,4,79
2026-07-15,54,186
2026-07-16,218,1421
2026-07-17,19,111
2026-07-18,15,106
2026-07-19,9,36
2026-07-20,6,73
2026-07-21,173,334
2026-07-22,18,101
2026-07-23,9,59
2026-07-24,20,48
2026-07-25,3,6
2026-07-26,108,437
2026-07-27,12,147
2026-07-28,3,29
2026-07-29,74,206
2026-07-30,12,230
2026-07-31,12,212
2026-08-01,12,72
2026-08-02,2,58
2026-08-03,2,30
2026-08-04,4,7
2026-08-05,6,6
2026-08-06,18,286
2026-08-07,2,112
2026-08-08,,97
2026-08-09,9,9
